time_s,thumb_percent,palm_percent,index_percent,middle_percent
420.507,0.0,0.0,0.0,0.0
420.6,0.0,0.0,0.0,0.0
420.693,0.0,0.0,0.0,0.0
420.785,0.0,0.0,0.0,0.0
420.878,0.0,0.0,0.0,0.0
420.971,0.0,0.0,0.0,0.0
421.064,0.0,0.0,0.0,0.0
421.157,0.0,0.0,0.0,0.0
421.25,0.0,0.0,0.0,0.0
421.343,0.0,0.0,0.0,0.0
421.436,0.0,0.0,0.0,0.0
421.529,0.0,0.0,0.0,0.0
421.622,0.0,0.0,0.0,0.0
421.715,0.0,0.0,0.0,0.0
421.808,0.0,0.0,0.0,0.0
421.901,0.0,0.0,0.0,0.0
421.994,0.0,0.0,0.0,0.0
422.087,0.0,0.0,0.0,69.68
422.18,0.0,0.0,44.58,82.45
422.273,0.0,0.0,68.9,80.39
422.366,0.0,0.0,69.42,73.48
422.459,0.0,0.0,66.97,68.13
422.552,0.0,0.0,57.68,69.29
422.645,0.0,0.0,58.06,71.03
422.738,0.0,0.0,64.0,71.42
422.831,0.0,0.0,66.84,73.74
422.924,0.0,0.0,71.74,72.0
423.017,0.0,0.0,71.55,70.45
423.11,0.0,0.0,70.71,70.9
423.203,0.0,0.0,74.39,77.94
423.296,0.0,0.0,77.48,86.19
423.389,17.03,0.0,79.35,88.52
423.482,63.68,26.06,82.0,92.39
423.575,81.93,52.58,85.55,94.84
423.668,88.64,45.42,88.06,97.22
423.761,94.97,64.13,89.61,98.39
423.854,97.48,64.58,91.68,98.65
423.947,99.1,52.0,94.64,98.06
424.04,99.93,47.61,96.64,97.87
424.133,100.0,27.1,97.35,98.06
424.226,100.0,0.0,97.29,99.22
424.319,100.0,0.0,97.61,99.87
424.412,100.0,38.32,98.45,100.0
424.505,100.0,84.77,99.1,100.0
424.598,100.0,86.84,99.48,100.0
424.691,100.0,91.1,99.74,100.0
424.784,99.74,93.22,99.81,100.0
424.877,99.42,94.26,100.0,100.0
424.97,99.03,94.71,100.0,100.0
425.063,98.97,94.9,99.42,100.0
425.156,92.65,93.48,96.71,100.0
425.249,87.42,91.16,94.64,98.32
425.342,67.03,85.81,91.61,96.0
425.435,13.55,81.48,88.84,90.26
425.528,0.0,62.39,81.74,76.84
425.621,0.0,53.1,77.68,62.26
425.714,0.0,29.68,76.19,46.77
425.807,0.0,12.39,73.87,33.81
425.9,0.0,0.0,73.35,27.16
425.993,0.0,0.0,73.03,0.0
426.086,0.0,0.0,70.77,0.0
426.179,0.0,0.0,72.52,0.0
426.272,0.0,0.0,78.9,0.0
426.365,0.0,0.0,57.22,0.0
426.458,0.0,0.0,0.0,9.55
426.551,0.0,0.0,0.0,28.19
426.644,0.0,0.0,0.0,15.1
426.737,0.0,0.0,0.0,0.0
426.83,0.0,0.0,0.0,0.0
426.923,0.0,0.0,0.0,0.0
427.016,0.0,0.0,0.0,0.0
427.109,0.0,0.0,0.0,0.0
427.202,0.0,0.0,0.0,0.0
427.295,0.0,0.0,0.0,0.0
427.388,0.0,0.0,0.0,0.0
427.481,0.0,0.0,0.0,0.0
427.574,0.0,0.0,0.0,0.0
427.666,0.0,0.0,0.0,0.0
427.758,0.0,0.0,0.0,0.0
427.851,0.0,0.0,0.0,0.0
